county,state,county_seat,parcel_number,owner_name,property_address,city,zip,amount_due,sale_date,sale_number,source_url,date_scraped,notes
Shelby,TN,Memphis,060222  00306M,,3031 JOYCE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=060222  00306M | Alt parcel: 0602220000306M
Shelby,TN,Memphis,061042  00001,,2837 DOUGLASS,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=061042  00001 | Alt parcel: 06104200000010
Shelby,TN,Memphis,044031  00011,,3201 PRINCETON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=044031  00011 | Alt parcel: 04403100000110
Shelby,TN,Memphis,075172  00019,,684 HONDURAS,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075172  00019 | Alt parcel: 07517200000190
Shelby,TN,Memphis,050047  00006,,136 W NORWOOD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=050047  00006 | Alt parcel: 05004700000060
Shelby,TN,Memphis,025050  00008,,601 LUCY,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=025050  00008 | Alt parcel: 02505000000080
Shelby,TN,Memphis,002102  00011C,,316 S FRONT,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=002102  00011C | Alt parcel: 0021020000011C
Shelby,TN,Memphis,074037 H00076,,3526 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00076 | Alt parcel: 0740370H000760
Shelby,TN,Memphis,058112  00014,,1314 BRIARWOOD,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=058112  00014 | Alt parcel: 05811200000140
Shelby,TN,Memphis,059031  00004M,,1760 ZANOLA,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=059031  00004M | Alt parcel: 0590310000004M
